"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2644","3.Проверка href элементов навигации хэдера","chromium","Sat Feb 21 23:18:24 UTC 2026","passed","Sat Feb 21 23:18:27 UTC 2026","Main page","mainUi.spec.js","",""
"","8452","2.Проверка, что Выдача сохранила количество пассажиров после перезагрузки страницы","chromium","Sat Feb 21 23:19:54 UTC 2026","passed","Sat Feb 21 23:20:02 UTC 2026","Offers page","offersUi.spec.js","",""
"","253","Успешное получение городов для поездов 200","chromium","Sat Feb 21 23:18:15 UTC 2026","passed","Sat Feb 21 23:18:16 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","222","Получение городов со случайным типом транспорта из генератора 200","chromium","Sat Feb 21 23:18:16 UTC 2026","passed","Sat Feb 21 23:18:16 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","2895","1.Проверка отображения элементов навигации хэдера","chromium","Sat Feb 21 23:18:16 UTC 2026","passed","Sat Feb 21 23:18:19 UTC 2026","Main page","mainUi.spec.js","",""
"","231","Проверка структуры данных города","chromium","Sat Feb 21 23:18:16 UTC 2026","passed","Sat Feb 21 23:18:16 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","939","Успешное олучение списка городов для авиа 200","chromium","Sat Feb 21 23:18:15 UTC 2026","passed","Sat Feb 21 23:18:15 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","2563","2.Проверка названия элементов навигации хэдера","chromium","Sat Feb 21 23:18:21 UTC 2026","passed","Sat Feb 21 23:18:24 UTC 2026","Main page","mainUi.spec.js","",""
"","30898","3.Цена отображается в карточке и больше 0","chromium","Sat Feb 21 23:21:08 UTC 2026","broken","Sat Feb 21 23:21:39 UTC 2026","Offers page","offersUi.spec.js","",""
"","5361","5.Вариант предыдущего теста с ручным заполнением полей с генератором","chromium","Sat Feb 21 23:18:27 UTC 2026","passed","Sat Feb 21 23:18:32 UTC 2026","Main page","mainUi.spec.js","",""
"","30962","1.Проверка видимости кнопки Следить за ценой на выдаче","chromium","Sat Feb 21 23:19:22 UTC 2026","broken","Sat Feb 21 23:19:53 UTC 2026","Offers page","offersUi.spec.js","",""
"","222","Запрос без параметра transport возвращает города 200","chromium","Sat Feb 21 23:18:16 UTC 2026","passed","Sat Feb 21 23:18:16 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
