"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","988","Успешное олучение списка городов для авиа 200","chromium","Sat Feb 21 23:16:42 UTC 2026","passed","Sat Feb 21 23:16:43 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","11469","1.Проверка видимости кнопки Следить за ценой на выдаче","chromium","Sat Feb 21 23:17:13 UTC 2026","passed","Sat Feb 21 23:17:24 UTC 2026","Offers page","offersUi.spec.js","",""
"","235","Получение городов со случайным типом транспорта из генератора 200","chromium","Sat Feb 21 23:16:43 UTC 2026","passed","Sat Feb 21 23:16:43 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","3275","1.Проверка отображения элементов навигации хэдера","chromium","Sat Feb 21 23:16:44 UTC 2026","passed","Sat Feb 21 23:16:47 UTC 2026","Main page","mainUi.spec.js","",""
"","227","Проверка структуры данных города","chromium","Sat Feb 21 23:16:43 UTC 2026","passed","Sat Feb 21 23:16:44 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","12905","3.Цена отображается в карточке и больше 0","chromium","Sat Feb 21 23:18:39 UTC 2026","passed","Sat Feb 21 23:18:51 UTC 2026","Offers page","offersUi.spec.js","",""
"","2505","2.Проверка названия элементов навигации хэдера","chromium","Sat Feb 21 23:16:48 UTC 2026","passed","Sat Feb 21 23:16:51 UTC 2026","Main page","mainUi.spec.js","",""
"","8983","2.Проверка, что Выдача сохранила количество пассажиров после перезагрузки страницы","chromium","Sat Feb 21 23:17:24 UTC 2026","passed","Sat Feb 21 23:17:33 UTC 2026","Offers page","offersUi.spec.js","",""
"","235","Успешное получение городов для поездов 200","chromium","Sat Feb 21 23:16:43 UTC 2026","passed","Sat Feb 21 23:16:43 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","2587","3.Проверка href элементов навигации хэдера","chromium","Sat Feb 21 23:16:51 UTC 2026","passed","Sat Feb 21 23:16:53 UTC 2026","Main page","mainUi.spec.js","",""
"","232","Запрос без параметра transport возвращает города 200","chromium","Sat Feb 21 23:16:44 UTC 2026","passed","Sat Feb 21 23:16:44 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","7386","5.Вариант предыдущего теста с ручным заполнением полей с генератором","chromium","Sat Feb 21 23:17:05 UTC 2026","passed","Sat Feb 21 23:17:12 UTC 2026","Main page","mainUi.spec.js","",""
