"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3361","1.Проверка отображения элементов навигации хэдера","chromium","Sat Feb 21 23:12:22 UTC 2026","passed","Sat Feb 21 23:12:26 UTC 2026","Main page","mainUi.spec.js","",""
"","31064","1.Проверка видимости кнопки Следить за ценой на выдаче","chromium","Sat Feb 21 23:14:12 UTC 2026","broken","Sat Feb 21 23:14:43 UTC 2026","Offers page","offersUi.spec.js","",""
"","3659","3.Проверка href элементов навигации хэдера","chromium","Sat Feb 21 23:12:29 UTC 2026","passed","Sat Feb 21 23:12:33 UTC 2026","Main page","mainUi.spec.js","",""
"","295","Успешное получение городов для поездов 200","chromium","Sat Feb 21 23:12:21 UTC 2026","passed","Sat Feb 21 23:12:21 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","302","Проверка структуры данных города","chromium","Sat Feb 21 23:12:22 UTC 2026","passed","Sat Feb 21 23:12:22 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","1030","Успешное олучение списка городов для авиа 200","chromium","Sat Feb 21 23:12:20 UTC 2026","passed","Sat Feb 21 23:12:21 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","10821","3.Цена отображается в карточке и больше 0","chromium","Sat Feb 21 23:15:30 UTC 2026","passed","Sat Feb 21 23:15:40 UTC 2026","Offers page","offersUi.spec.js","",""
"","7184","5.Вариант предыдущего теста с ручным заполнением полей с генератором","chromium","Sat Feb 21 23:12:59 UTC 2026","passed","Sat Feb 21 23:13:06 UTC 2026","Main page","mainUi.spec.js","",""
"","13551","2.Проверка, что Выдача сохранила количество пассажиров после перезагрузки страницы","chromium","Sat Feb 21 23:14:44 UTC 2026","passed","Sat Feb 21 23:14:57 UTC 2026","Offers page","offersUi.spec.js","",""
"","291","Запрос без параметра transport возвращает города 200","chromium","Sat Feb 21 23:12:22 UTC 2026","passed","Sat Feb 21 23:12:22 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","3632","2.Проверка названия элементов навигации хэдера","chromium","Sat Feb 21 23:12:26 UTC 2026","passed","Sat Feb 21 23:12:29 UTC 2026","Main page","mainUi.spec.js","",""
"","297","Получение городов со случайным типом транспорта из генератора 200","chromium","Sat Feb 21 23:12:21 UTC 2026","passed","Sat Feb 21 23:12:22 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
