"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","232","Запрос без параметра transport возвращает города 200","chromium","Sat Feb 21 22:22:55 UTC 2026","passed","Sat Feb 21 22:22:55 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","3501","1.Проверка отображения элементов навигации хэдера","chromium","Sat Feb 21 22:22:55 UTC 2026","passed","Sat Feb 21 22:22:59 UTC 2026","Main page","mainUi.spec.js","",""
"","2956","2.Проверка названия элементов навигации хэдера","chromium","Sat Feb 21 22:22:59 UTC 2026","passed","Sat Feb 21 22:23:02 UTC 2026","Main page","mainUi.spec.js","",""
"","951","Успешное олучение списка городов для авиа 200","chromium","Sat Feb 21 22:22:53 UTC 2026","passed","Sat Feb 21 22:22:54 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","6409","5.Вариант предыдущего теста с ручным заполнением полей с генератором","chromium","Sat Feb 21 22:23:05 UTC 2026","passed","Sat Feb 21 22:23:11 UTC 2026","Main page","mainUi.spec.js","",""
"","9429","1.Проверка видимости кнопки Следить за ценой на выдаче","chromium","Sat Feb 21 22:23:11 UTC 2026","passed","Sat Feb 21 22:23:20 UTC 2026","Offers page","offersUi.spec.js","",""
"","2716","3.Проверка href элементов навигации хэдера","chromium","Sat Feb 21 22:23:02 UTC 2026","passed","Sat Feb 21 22:23:05 UTC 2026","Main page","mainUi.spec.js","",""
"","8889","3.Цена отображается в карточке и больше 0","chromium","Sat Feb 21 22:23:29 UTC 2026","passed","Sat Feb 21 22:23:38 UTC 2026","Offers page","offersUi.spec.js","",""
"","236","Получение городов со случайным типом транспорта из генератора 200","chromium","Sat Feb 21 22:22:54 UTC 2026","passed","Sat Feb 21 22:22:55 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","8989","2.Проверка, что Выдача сохранила количество пассажиров после перезагрузки страницы","chromium","Sat Feb 21 22:23:20 UTC 2026","passed","Sat Feb 21 22:23:29 UTC 2026","Offers page","offersUi.spec.js","",""
"","239","Успешное получение городов для поездов 200","chromium","Sat Feb 21 22:22:54 UTC 2026","passed","Sat Feb 21 22:22:54 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
"","246","Проверка структуры данных города","chromium","Sat Feb 21 22:22:55 UTC 2026","passed","Sat Feb 21 22:22:55 UTC 2026","API Тесты поиска городов tutu.ru","api/juicyOffers.spec.js","",""
